hike_name,Field1_links,difficulty,distance,elevation,URL,latitude,longitude,drive_time
BPA Road-Newton Road Loop Hike,https://www.oregonhikers.org/field_guide/BPA_Road-Newton_Road_Loop_Hike,Moderate,8.1 miles,"2,600 feet",https://www.oregonhikers.org/field_guide/BPA_Road_Trailhead,Latitude: 45.61162,Longitude: -122.79745,20 minutes
Badger Creek Hike,https://www.oregonhikers.org/field_guide/Badger_Creek_Hike,Moderate,23 miles,"2,420 feet",https://www.oregonhikers.org/field_guide/Badger_Creek_Trailhead,Latitude: 45.2575,Longitude: -121.3924,130 minutes
Bald Butte Hike,https://www.oregonhikers.org/field_guide/Bald_Butte_Hike,Moderate,8.2 miles,"2,465 feet",https://www.oregonhikers.org/field_guide/Oak_Ridge_Trailhead,Latitude: 45.52063,Longitude: -121.55982,80 minutes
Bald Mountain Loop Hike,https://www.oregonhikers.org/field_guide/Bald_Mountain_Loop_Hike,Moderate,7.8 miles,"1,595 feet",https://www.oregonhikers.org/field_guide/Coalmine_Hill_Trailhead,Latitude: 45.1667,Longitude: -119.3331,3.5 hours
Bald Mountain from Lolo Pass Hike,https://www.oregonhikers.org/field_guide/Bald_Mountain_from_Lolo_Pass_Hike,Moderate,6.6 miles,"1,400 feet",https://www.oregonhikers.org/field_guide/Lolo_Pass_Trailhead,Latitude: 45.42718,Longitude: -121.79686,1.5 hours
Banks-Vernonia Traverse Hike,https://www.oregonhikers.org/field_guide/Banks-Vernonia_Traverse_Hike,Moderate,20.7 miles,820 feet,https://www.oregonhikers.org/field_guide/Banks_Trailhead,Latitude: 45.62227,Longitude: -123.11418,35 minutes
Barklow Mountain West Hike,https://www.oregonhikers.org/field_guide/Barklow_Mountain_West_Hike,Moderate,4.5 miles,"1,080 feet",https://www.oregonhikers.org/field_guide/Barklow_West_Trailhead,Latitude: 42.74696,Longitude: -124.18353,305 minutes
Barlow Butte Hike,https://www.oregonhikers.org/field_guide/Barlow_Butte_Hike,Moderate,4 miles,"1,585 feet",https://www.oregonhikers.org/field_guide/Barlow_Pass_Trailhead,Latitude: 45.28249,Longitude: -121.68552,80 minutes
Barlow Road Hike,https://www.oregonhikers.org/field_guide/Barlow_Road_Hike,Moderate,8.8 miles,"1,275 feet",https://www.oregonhikers.org/field_guide/Barlow_Pass_Trailhead,Latitude: 45.28249,Longitude: -121.68552,80 minutes
Barnhardy Basin Loop Hike,https://www.oregonhikers.org/field_guide/Barnhardy_Basin_Loop_Hike,Moderate,5.3 miles,695 feet,https://www.oregonhikers.org/field_guide/Hot_Springs_Campground_Trailhead,Latitude: 42.50180,Longitude: -119.69014,7.5 hours
Basin Lakes Loop Hike,https://www.oregonhikers.org/field_guide/Basin_Lakes_Loop_Hike,Moderate,9.1 miles,"1,795 feet",https://www.oregonhikers.org/field_guide/Falls_Creek_Horse_Camp_Trailhead,Latitude: 45.96601,Longitude: -121.84495,85 minutes
Battle Ax Loop Hike,https://www.oregonhikers.org/field_guide/Battle_Ax_Loop_Hike,Moderate,6 miles,"1,765 feet",https://www.oregonhikers.org/field_guide/Elk_Lake_Junction_Trailhead,Latitude: 44.8252,Longitude: -122.1250,145 minutes
Battle Creek Shelter (From South) Hike,https://www.oregonhikers.org/field_guide/Battle_Creek_Shelter_(From_South)_Hike,Moderate,8.4 miles,"1,100 feet",https://www.oregonhikers.org/field_guide/Elk_Lake_Trailhead,Latitude: 44.82547,Longitude: -122.11530,145 minutes
Battle Creek Shelter Hike,https://www.oregonhikers.org/field_guide/Battle_Creek_Shelter_Hike,Moderate,9.8 miles,500 feet,https://www.oregonhikers.org/field_guide/Elk_Lake_Creek_Trail_Northern_Trailhead,Latitude: 44.89300,Longitude: -122.00741,105 minutes
Baty Butte via Thunder Mountain Hike,https://www.oregonhikers.org/field_guide/Baty_Butte_via_Thunder_Mountain_Hike,Moderate,10.1 miles,"3,115 feet",https://www.oregonhikers.org/field_guide/Thunder_Mountain_Trailhead,Latitude: 44.98924,Longitude: -122.15545,105 minutes
Bayocean Spit Loop Hike,https://www.oregonhikers.org/field_guide/Bayocean_Spit_Loop_Hike,Moderate,7.6 miles,50 feet,https://www.oregonhikers.org/field_guide/Bayocean_Spit_Trailhead,Latitude: 45.51958,Longitude: -123.94758,100 minutes
Beacon Rock Hike,https://www.oregonhikers.org/field_guide/Beacon_Rock_Hike,Moderate,1.8 miles,680 feet,https://www.oregonhikers.org/field_guide/Beacon_Rock_Trailhead,Latitude: 45.62909,Longitude: -122.02103,1 hour
Belknap Crater Hike,https://www.oregonhikers.org/field_guide/Belknap_Crater_Hike,Moderate,6.8 miles,"1,880 feet",https://www.oregonhikers.org/field_guide/McKenzie_Pass_Trailhead,Latitude: 44.2602,Longitude: -121.8098,3 hours
Beverly Beach-Moolack Beach Hike,https://www.oregonhikers.org/field_guide/Beverly_Beach-Moolack_Beach_Hike,Moderate,10.3 miles,80 feet,https://www.oregonhikers.org/field_guide/Devils_Punchbowl_Trailhead,Latitude: 44.74753,Longitude: -124.06214,130 minutes
Big Indian Gorge Hike,https://www.oregonhikers.org/field_guide/Big_Indian_Gorge_Hike,Moderate,13 miles,"1,485 feet",https://www.oregonhikers.org/field_guide/Big_Indian_Trailhead,Latitude: 42.6563,Longitude: -118.7241,415 minutes
Big Slide Lake Hike,https://www.oregonhikers.org/field_guide/Big_Slide_Lake_Hike,Moderate,12 miles,"1,680 feet",https://www.oregonhikers.org/field_guide/Dickey_Creek_Trailhead,Latitude: 44.94545,Longitude: -122.04845,100 minutes
Big Tree Loop Hike,https://www.oregonhikers.org/field_guide/Big_Tree_Loop_Hike,Moderate,3.7 miles,"1,380 feet",https://www.oregonhikers.org/field_guide/Oregon_Caves_Trailhead,Latitude: 42.09961,Longitude: -123.41011,5.5 hours
Bird Creek Meadows Loop Hike,https://www.oregonhikers.org/field_guide/Bird_Creek_Meadows_Loop_Hike,Moderate,6.2 miles,"1,000 feet",https://www.oregonhikers.org/field_guide/Bird_Lake_Trailhead,Latitude: 46.140489,Longitude: -121.440039,150 minutes
Bird Mountain Loop Hike,https://www.oregonhikers.org/field_guide/Bird_Mountain_Loop_Hike,Moderate,6.8 miles,"1,700 feet",https://www.oregonhikers.org/field_guide/Indian_Heaven_Trailhead,Latitude: 46.0470,Longitude: -121.7563,2 hours
Black Butte Hike,https://www.oregonhikers.org/field_guide/Black_Butte_Hike,Moderate,4 miles,"1,500 feet",https://www.oregonhikers.org/field_guide/Black_Butte_Trailhead,Latitude: 44.3953,Longitude: -121.6484,3 hours
Black Canyon from Boeing Field Hike,https://www.oregonhikers.org/field_guide/Black_Canyon_from_Boeing_Field_Hike,Moderate,7.1 miles,"1,365 feet",https://www.oregonhikers.org/field_guide/Boeing_Field_Trailhead,Latitude: 44.3427,Longitude: -119.7313,290 minutes
Black Lake from Rainy Lake Hike,https://www.oregonhikers.org/field_guide/Black_Lake_from_Rainy_Lake_Hike,Moderate,2 miles,285 feet,https://www.oregonhikers.org/field_guide/Rainy_Lake_Trailhead,Latitude: 45.62610,Longitude: -121.75882,105 minutes
Blacklock Point from Floras Lake Hike,https://www.oregonhikers.org/field_guide/Blacklock_Point_from_Floras_Lake_Hike,Moderate,9.1 miles,470 feet,https://www.oregonhikers.org/field_guide/Boice_Cope_Trailhead,Latitude: 42.9030,Longitude: -124.5020,280 minutes
Blue Lake Hike,https://www.oregonhikers.org/field_guide/Blue_Lake_Hike,Moderate,6.6 miles,700 feet,https://www.oregonhikers.org/field_guide/Thomas_Lake_Trailhead,Latitude: 46.00577,Longitude: -121.83923,2 hours
Boccard Point Hike,https://www.oregonhikers.org/field_guide/Boccard_Point_Hike,Moderate,10 miles,"1,200 feet",https://www.oregonhikers.org/field_guide/Hobart_Bluff_Trailhead,Latitude: 42.08555,Longitude: -122.48209,5 hours
Bolt Mountain Hike,https://www.oregonhikers.org/field_guide/Bolt_Mountain_Hike,Moderate,6.6 miles,"1,280 feet",https://www.oregonhikers.org/field_guide/Bolt_Mountain_Trailhead,Latitude: 42.3560,Longitude: -123.4074,425 minutes
Bonney Butte via Bonney Meadows Trail Hike,https://www.oregonhikers.org/field_guide/Bonney_Butte_via_Bonney_Meadows_Trail_Hike,Moderate,7.1 miles,"2,070 feet",https://www.oregonhikers.org/field_guide/Wamic_Road_Trailhead,Latitude: 45.24462,Longitude: -121.61104,90 minutes
Bonney Butte via Hidden Meadows Loop Hike,https://www.oregonhikers.org/field_guide/Bonney_Butte_via_Hidden_Meadows_Loop_Hike,Moderate,13 miles,"1,855 feet",https://www.oregonhikers.org/field_guide/Hidden_Meadows_Trailhead,Latitude: 45.2137,Longitude: -121.5501,105 minutes
Boomscooter-Bumping Knots Loop Hike,https://www.oregonhikers.org/field_guide/Boomscooter-Bumping_Knots_Loop_Hike,Moderate,9.1 miles,"1,630 feet",https://www.oregonhikers.org/field_guide/Hilltop_Trailhead,Latitude: 45.7417,Longitude: -123.1861,45 minutes
Boy Scout Ridge Hike,https://www.oregonhikers.org/field_guide/Boy_Scout_Ridge_Hike,Moderate,10.2 miles,"1,640 feet",https://www.oregonhikers.org/field_guide/Barlow_Pass_Trailhead,Latitude: 45.28249,Longitude: -121.68552,80 minutes
Boy Scout Tree Hike,https://www.oregonhikers.org/field_guide/Boy_Scout_Tree_Hike,Moderate,5.7 miles,"1,000 feet",https://www.oregonhikers.org/field_guide/Boy_Scout_Tree_Trailhead,Latitude: 41.7688,Longitude: -124.1100,5.75 hours
Bridge Creek Wilderness Hike,https://www.oregonhikers.org/field_guide/Bridge_Creek_Wilderness_Hike,Moderate,4.5 miles,720 feet,https://www.oregonhikers.org/field_guide/Bridge_Creek_Trailhead,Latitude: 44.46495,Longitude: -120.22625,260 minutes
Broken Top East Cirque Hike,https://www.oregonhikers.org/field_guide/Broken_Top_East_Cirque_Hike,Moderate,5.8 miles,"1,385 feet",https://www.oregonhikers.org/field_guide/Broken_Top_Trailhead,Latitude: 44.0558,Longitude: -121.6752,4.5 hours
Buck Creek Hike,https://www.oregonhikers.org/field_guide/Buck_Creek_Hike,Moderate,6.2 miles,835 feet,https://www.oregonhikers.org/field_guide/Buck_Creek_Trailhead,Latitude: 45.71817,Longitude: -118.18714,4.25 hours
Buck Creek-Wicky Shelter Loop Hike,https://www.oregonhikers.org/field_guide/Buck_Creek-Wicky_Shelter_Loop_Hike,Moderate,9.6 miles,"1,185 feet",https://www.oregonhikers.org/field_guide/Lower_Buck_Creek_Trailhead_(Gifford_Pinchot),Latitude: 46.0583,Longitude: -121.5422,110 minutes
Buck Mountain Loop Hike,https://www.oregonhikers.org/field_guide/Buck_Mountain_Loop_Hike,Moderate,8.1 miles,990 feet,https://www.oregonhikers.org/field_guide/Howard_Creek_Trailhead,Latitude: 44.8642,Longitude: -122.6425,90 minutes
Buck Point Hike,https://www.oregonhikers.org/field_guide/Buck_Point_Hike,Moderate,1.8 miles,570 feet,https://www.oregonhikers.org/field_guide/Eagle_Creek_Trailhead,Latitude: 45.63653,Longitude: -121.91947,45 minutes
Bull of the Woods Lookout Hike,https://www.oregonhikers.org/field_guide/Bull_of_the_Woods_Lookout_Hike,Moderate,6.4 miles,"1,250 feet",https://www.oregonhikers.org/field_guide/Bull_of_the_Woods_Trailhead,Latitude: 44.92262,Longitude: -122.10261,115 minutes
Bull of the Woods via Pansy Lake Loop Hike,https://www.oregonhikers.org/field_guide/Bull_of_the_Woods_via_Pansy_Lake_Loop_Hike,Moderate,7.5 miles,"2,100 feet",https://www.oregonhikers.org/field_guide/Pansy_Lake_Trailhead,Latitude: 44.89991,Longitude: -122.11636,2 hours
Bunker Hill Hike,https://www.oregonhikers.org/field_guide/Bunker_Hill_Hike,Moderate,5.8 miles,"1,310 feet",https://www.oregonhikers.org/field_guide/Trout_Creek_Trailhead_(PCT),Latitude: 45.8113,Longitude: -121.9562,70 minutes
Burnt Granite-Tarzan Springs Hike,https://www.oregonhikers.org/field_guide/Burnt_Granite-Tarzan_Springs_Hike,Moderate,8.3 miles,"2,070 feet",https://www.oregonhikers.org/field_guide/Burnt_Granite_Trailhead,Latitude: 45.0045,Longitude: -121.9374,115 minutes
Burnt Lake Hike,https://www.oregonhikers.org/field_guide/Burnt_Lake_Hike,Moderate,6.6 miles,"1,420 feet",https://www.oregonhikers.org/field_guide/North_Burnt_Lake_Trailhead,Latitude: 45.37206,Longitude: -121.82246,90 minutes
Burroughs Mountain Hike,https://www.oregonhikers.org/field_guide/Burroughs_Mountain_Hike,Moderate,6.2 miles,"1,300 feet",https://www.oregonhikers.org/field_guide/Sunrise_Trailhead,Latitude: 46.9144,Longitude: -121.6421,5 hours
Cache Meadows via Cripple Creek Loop Hike,https://www.oregonhikers.org/field_guide/Cache_Meadows_via_Cripple_Creek_Loop_Hike,Moderate,11.6 miles,"2,845 feet",https://www.oregonhikers.org/field_guide/Cripple_Creek_Trailhead,Latitude: 45.1201,Longitude: -122.0638,75 minutes
Cairn Basin from Top Spur Hike,https://www.oregonhikers.org/field_guide/Cairn_Basin_from_Top_Spur_Hike,Difficult,8.7 miles,"2,200 feet",https://www.oregonhikers.org/field_guide/Top_Spur_Trailhead,Latitude: 45.40775,Longitude: -121.78589,100 minutes
Cairn Basin via Mazama Trail Hike,https://www.oregonhikers.org/field_guide/Cairn_Basin_via_Mazama_Trail_Hike,Moderate,8.8 miles,"2,465 feet",https://www.oregonhikers.org/field_guide/Mazama_Trailhead,Latitude: 45.437125,Longitude: -121.757221,95 minutes
Campbell Lake Hike,https://www.oregonhikers.org/field_guide/Campbell_Lake_Hike,Moderate,13 miles,"2,100 feet",https://www.oregonhikers.org/field_guide/Shackleford_Trailhead,Latitude: 41.56265,Longitude: -123.04794,6.5 hours
Cannon Beach Hike,https://www.oregonhikers.org/field_guide/Cannon_Beach_Hike,Moderate,10.2 miles,25 feet,https://www.oregonhikers.org/field_guide/Cannon_Beach_Trailhead,Latitude: 45.89748,Longitude: -123.96002,90 minutes
Canyon Creek Meadows Hike,https://www.oregonhikers.org/field_guide/Canyon_Creek_Meadows_Hike,Moderate,6.5 miles,900 feet,https://www.oregonhikers.org/field_guide/Jack_Lake_Trailhead,Latitude: 44.49186,Longitude: -121.79416,3.5 hours
Cape Arago Loop Hike,https://www.oregonhikers.org/field_guide/Cape_Arago_Loop_Hike,Moderate,3.9 miles,710 feet,https://www.oregonhikers.org/field_guide/Cape_Arago_Pack_Trailhead,Latitude: 43.3054,Longitude: -124.3974,250 minutes
Cape Blanco Loop Hike,https://www.oregonhikers.org/field_guide/Cape_Blanco_Loop_Hike,Moderate,9.4 miles,435 feet,https://www.oregonhikers.org/field_guide/Cape_Blanco_Trailhead,Latitude: 42.8355,Longitude: -124.5572,290 minutes
Cape Horn Loop Hike,https://www.oregonhikers.org/field_guide/Cape_Horn_Loop_Hike,Moderate,7.4 miles,"1,230 feet",https://www.oregonhikers.org/field_guide/Cape_Horn_Trailhead,Latitude: 45.58852,Longitude: -122.17874,40 minutes
Cape Horn Overlooks Hike,https://www.oregonhikers.org/field_guide/Cape_Horn_Overlooks_Hike,Moderate,5.2 miles,"1,185 feet",https://www.oregonhikers.org/field_guide/Cape_Horn_Trailhead,Latitude: 45.58852,Longitude: -122.17874,40 minutes
Cape Lookout Hike,https://www.oregonhikers.org/field_guide/Cape_Lookout_Hike,Moderate,5 miles,930 feet,https://www.oregonhikers.org/field_guide/Cape_Lookout_Trailhead,Latitude: 45.34132,Longitude: -123.97445,105 minutes
Cape Lookout North Hike,https://www.oregonhikers.org/field_guide/Cape_Lookout_North_Hike,Moderate,9.6 miles,"2,340 feet",https://www.oregonhikers.org/field_guide/Cape_Lookout_Day_Use_Trailhead,Latitude: 45.35999,Longitude: -123.97003,100 minutes
Cape Meares Hike,https://www.oregonhikers.org/field_guide/Cape_Meares_Hike,Moderate,5.4 miles,885 feet,https://www.oregonhikers.org/field_guide/Cape_Meares_Beach_Trailhead,Latitude: 45.50185,Longitude: -123.95927,95 minutes
Cape Perpetua Hike,https://www.oregonhikers.org/field_guide/Cape_Perpetua_Hike,Moderate,6.5 miles,"1,100 feet",https://www.oregonhikers.org/field_guide/Cape_Perpetua_Trailhead,Latitude: 44.2805,Longitude: -124.1078,160 minutes
Cape Sebastian to Pistol River Hike,https://www.oregonhikers.org/field_guide/Cape_Sebastian_to_Pistol_River_Hike,Moderate,10.5 miles,870 feet,https://www.oregonhikers.org/field_guide/Cape_Sebastian_South_Trailhead,Latitude: 42.3289,Longitude: -124.4258,5.5 hours
Cardwell Hill-Fitton Green Hike,https://www.oregonhikers.org/field_guide/Cardwell_Hill-Fitton_Green_Hike,Moderate,7.8 miles,"1,075 feet",https://www.oregonhikers.org/field_guide/Cardwell_Hill_Drive_Trailhead,Latitude: 44.58982,Longitude: -123.35639,85 minutes
Carl Lake Hike,https://www.oregonhikers.org/field_guide/Carl_Lake_Hike,Moderate,10 miles,"1,000 feet",https://www.oregonhikers.org/field_guide/Cabot_Lake_Trailhead,Latitude: 44.5737,Longitude: -121.7312,180 minutes
Cascade Head Hike,https://www.oregonhikers.org/field_guide/Cascade_Head_Hike,Moderate,6.6 miles,"1,310 feet",https://www.oregonhikers.org/field_guide/Knights_Park_Trailhead,Latitude: 45.04183,Longitude: -123.99234,110 minutes
Cascade Head Rainforest Hike,https://www.oregonhikers.org/field_guide/Cascade_Head_Rainforest_Hike,Moderate,7.4 miles,"1,295 feet",https://www.oregonhikers.org/field_guide/Cascade_Head_South_Trailhead,Latitude: 45.0308,Longitude: -123.9554,110 minutes
Cast Lake Hike,https://www.oregonhikers.org/field_guide/Cast_Lake_Hike,Moderate,12.4 miles,"3,890 feet",https://www.oregonhikers.org/field_guide/Cast_Creek_Trailhead,Latitude: 45.38213,Longitude: -121.85938,65 minutes
Castle Canyon Hike,https://www.oregonhikers.org/field_guide/Castle_Canyon_Hike,Moderate,2.2 miles,840 feet,https://www.oregonhikers.org/field_guide/Castle_Canyon_Trailhead,Latitude: 45.33780,Longitude: -121.91565,65 minutes
Castle Rock Hike,https://www.oregonhikers.org/field_guide/Castle_Rock_Hike,Moderate,2.5 miles,630 feet,https://www.oregonhikers.org/field_guide/Castle_Rock_Trailhead,Latitude: 44.149285,Longitude: -122.2059467,3 hours
Catalpa Lake via Bonney Meadows Trail Hike,https://www.oregonhikers.org/field_guide/Catalpa_Lake_via_Bonney_Meadows_Trail_Hike,Moderate,9 miles,"1,750 feet",https://www.oregonhikers.org/field_guide/Wamic_Road_Trailhead,Latitude: 45.24462,Longitude: -121.61104,90 minutes
Catherine Creek Canyon Loop Hike,https://www.oregonhikers.org/field_guide/Catherine_Creek_Canyon_Loop_Hike,Moderate,5.8 miles,"1,390 feet",https://www.oregonhikers.org/field_guide/Catherine_Creek_Trailhead,Latitude: 45.71047,Longitude: -121.36214,80 minutes
Catherine Creek-Coyote Wall Loop Hike,https://www.oregonhikers.org/field_guide/Catherine_Creek-Coyote_Wall_Loop_Hike,Moderate,11 miles,"2,640 feet",https://www.oregonhikers.org/field_guide/Catherine_Creek_Trailhead,Latitude: 45.71047,Longitude: -121.36214,80 minutes
Catherine Creek-Rowland Basin Loop Hike,https://www.oregonhikers.org/field_guide/Catherine_Creek-Rowland_Basin_Loop_Hike,Moderate,4.9 miles,"1,320 feet",https://www.oregonhikers.org/field_guide/Catherine_Creek_Trailhead,Latitude: 45.71047,Longitude: -121.36214,80 minutes
Cedar Grove Botanical Area Hike,https://www.oregonhikers.org/field_guide/Cedar_Grove_Botanical_Area_Hike,Moderate,1.7 miles,550 feet,https://www.oregonhikers.org/field_guide/Cedar_Grove_Trailhead,Latitude: 44.3322,Longitude: -119.34201,310 minutes
Chestnut to Dogwood Loop Hike,https://www.oregonhikers.org/field_guide/Chestnut_to_Dogwood_Loop_Hike,Moderate,6.5 miles,545 feet,https://www.oregonhikers.org/field_guide/Forest_Lane_Trailhead,Latitude: 45.5482,Longitude: -122.7451,15 minutes
Chucksney Mountain Hike,https://www.oregonhikers.org/field_guide/Chucksney_Mountain_Hike,Moderate,10.4 miles,"2,030 feet",https://www.oregonhikers.org/field_guide/Box_Canyon_Trailhead,Latitude: 43.9050,Longitude: -122.0839,4 hours
Clackamas Lake-Timothy Lake Loop Hike,https://www.oregonhikers.org/field_guide/Clackamas_Lake-Timothy_Lake_Loop_Hike,Moderate,13.3 miles,935 feet,https://www.oregonhikers.org/field_guide/Pacific_Crest_Skyline_Road_Trailhead,Latitude: 45.10174,Longitude: -121.74673,100 minutes
Clackamas River Trail Hike,https://www.oregonhikers.org/field_guide/Clackamas_River_Trail_Hike,Moderate,8.2 miles,"1,550 feet",https://www.oregonhikers.org/field_guide/Fish_Creek_Trailhead,Latitude: 45.15728,Longitude: -122.15105,65 minutes
Clear Creek to Keeps Mill Hike,https://www.oregonhikers.org/field_guide/Clear_Creek_to_Keeps_Mill_Hike,Moderate,9.9 miles,"1,650 feet",https://www.oregonhikers.org/field_guide/Clear_Creek_Crossing_Trailhead,Latitude: 45.1457,Longitude: -121.5793,90 minutes
Clear Lake Hike,https://www.oregonhikers.org/field_guide/Clear_Lake_Hike,Moderate,5.3 miles,280 feet,https://www.oregonhikers.org/field_guide/Clear_Lake_Trailhead,Latitude: 44.3740,Longitude: -121.9984,2.5 hours
Clear Lake via Blue Box Trail Hike,https://www.oregonhikers.org/field_guide/Clear_Lake_via_Blue_Box_Trail_Hike,Moderate,8 miles,"1,815 feet",https://www.oregonhikers.org/field_guide/Frog_Lake_Sno-Park,Latitude: 45.2291,Longitude: -121.6992,85 minutes
Coldwater Lake Loop Hike,https://www.oregonhikers.org/field_guide/Coldwater_Lake_Loop_Hike,Moderate,11.8 miles,"1,840 feet",https://www.oregonhikers.org/field_guide/Coldwater_Lake_Trailhead,Latitude: 46.2913,Longitude: -122.2672,110 minutes
Cook Hill Loop Hike,https://www.oregonhikers.org/field_guide/Cook_Hill_Loop_Hike,Moderate,8.8 miles,"2,930 feet",https://www.oregonhikers.org/field_guide/Cook_Hill_Trailhead,Latitude: 45.7120,Longitude: -121.6535,70 minutes
Cooper Spur Hike,https://www.oregonhikers.org/field_guide/Cooper_Spur_Hike,Moderate,7.1 miles,"2,680 feet",https://www.oregonhikers.org/field_guide/Cloud_Cap_Trailhead,Latitude: 45.40243,Longitude: -121.65486,2 hours
Cottonwood Canyon Pinnacles Hike,https://www.oregonhikers.org/field_guide/Cottonwood_Canyon_Pinnacles_Hike,Moderate,8.6 miles,65 feet,https://www.oregonhikers.org/field_guide/Murtha_Ranch_Trailhead,Latitude: 45.4807,Longitude: -120.4640,130 minutes
Coyote Wall hike,https://www.oregonhikers.org/field_guide/Coyote_Wall_hike,Moderate,7.8 miles,"1,775 feet",https://www.oregonhikers.org/field_guide/Coyote_Wall_Trailhead,Latitude: 45.7005,Longitude: -121.4024,75 minutes
Crane Prairie-Boulder Lakes Loop Hike,https://www.oregonhikers.org/field_guide/Crane_Prairie-Boulder_Lakes_Loop_Hike,Moderate,8.7 miles,"1,280 feet",https://www.oregonhikers.org/field_guide/Crane_Prairie_Trailhead,Latitude: 45.27600,Longitude: -121.59308,115 minutes
Crofton Butte Hike,https://www.oregonhikers.org/field_guide/Crofton_Butte_Hike,Moderate,3.3 miles,"1,100 feet",https://www.oregonhikers.org/field_guide/Crofton_Ridge_East_Trailhead,Latitude: 46.1267,Longitude: -121.5186,120 minutes
Crofton Ridge Loop Hike,https://www.oregonhikers.org/field_guide/Crofton_Ridge_Loop_Hike,Moderate,12.5 miles,"2,600 feet",https://www.oregonhikers.org/field_guide/Wicky_Shelter_Trailhead,Latitude: 46.0922,Longitude: -121.5330,115 minutes
Crosstown Loop Hike,https://www.oregonhikers.org/field_guide/Crosstown_Loop_Hike,Moderate,7 miles,765 feet,https://www.oregonhikers.org/field_guide/Glacier_View_Sno-Park,Latitude: 45.30456,Longitude: -121.77892,75 minutes
