hike_name,Field1_links,difficulty,distance,elevation,URL,latitude,longitude,drive_time
Viento State Park Hike,https://www.oregonhikers.org/field_guide/Viento_State_Park_Hike,Moderate,5.8 miles,490 feet,https://www.oregonhikers.org/field_guide/Starvation_Creek_Trailhead,Latitude: 45.68848,Longitude: -121.69031,1 hour
Vivian Lake Hike,https://www.oregonhikers.org/field_guide/Vivian_Lake_Hike,Moderate,8.3 miles,"1,735 feet",https://www.oregonhikers.org/field_guide/Salt_Creek_Falls_Trailhead,Latitude: 43.61196,Longitude: -122.12781,170 minutes
Vulcan Lake Loop Hike,https://www.oregonhikers.org/field_guide/Vulcan_Lake_Loop_Hike,Moderate,3.9 miles,890 feet,https://www.oregonhikers.org/field_guide/Johnson_Butte_Trailhead,Latitude: 42.19566,Longitude: -123.99261,440 minutes
Vulcan Peak Hike,https://www.oregonhikers.org/field_guide/Vulcan_Peak_Hike,Moderate,2.6 miles,935 feet,https://www.oregonhikers.org/field_guide/Vulcan_Peak_Trailhead,Latitude: 42.1818,Longitude: -124.0016,430 minutes
Wagner Butte Hike,https://www.oregonhikers.org/field_guide/Wagner_Butte_Hike,Moderate,10.4 miles,"2,200 feet",https://www.oregonhikers.org/field_guide/Wagner_Butte_Trailhead,Latitude: 42.11431,Longitude: -122.80069,4.5 hours
Wahkeena Falls Hike,https://www.oregonhikers.org/field_guide/Wahkeena_Falls_Hike,Moderate,1.4 miles,565 feet,https://www.oregonhikers.org/field_guide/Wahkeena_Trailhead,Latitude: 45.57535,Longitude: -122.12809,35 minutes
Warren Lake to Mount Defiance Hike,https://www.oregonhikers.org/field_guide/Warren_Lake_to_Mount_Defiance_Hike,Moderate,4.7 miles,"1,340 feet",https://www.oregonhikers.org/field_guide/Warren_Lake_Trailhead,Latitude: 45.65087,Longitude: -121.69692,100 minutes
Warrior Point Hike,https://www.oregonhikers.org/field_guide/Warrior_Point_Hike,Moderate,7 miles,10 feet,https://www.oregonhikers.org/field_guide/Warrior_Point_Trailhead,Latitude: 45.80859,Longitude: -122.79833,40 minutes
Waterfront Renaissance Trail Hike,https://www.oregonhikers.org/field_guide/Waterfront_Renaissance_Trail_Hike,Moderate,10.8 miles,50 feet,https://www.oregonhikers.org/field_guide/Esther_Short_Park_Trailhead,Latitude: 45.62732,Longitude: -122.67516,15 minutes
Wauna Point Hike,https://www.oregonhikers.org/field_guide/Wauna_Point_Hike,Moderate,9.8 miles,"3,380 feet",https://www.oregonhikers.org/field_guide/Tooth_Rock_Trailhead,Latitude: 45.63455,Longitude: -121.94816,45 minutes
Wauna Viewpoint from Eagle Creek Hike,https://www.oregonhikers.org/field_guide/Wauna_Viewpoint_from_Eagle_Creek_Hike,Moderate,3.6 miles,"1,050 feet",https://www.oregonhikers.org/field_guide/Eagle_Creek_Trailhead,Latitude: 45.63653,Longitude: -121.91947,45 minutes
Wauna Viewpoint from Tooth Rock Hike,https://www.oregonhikers.org/field_guide/Wauna_Viewpoint_from_Tooth_Rock_Hike,Moderate,4 miles,"1,050 feet",https://www.oregonhikers.org/field_guide/Tooth_Rock_Trailhead,Latitude: 45.63455,Longitude: -121.94816,45 minutes
Weldon Wagon Road Hike,https://www.oregonhikers.org/field_guide/Weldon_Wagon_Road_Hike,Moderate,5.2 miles,"1,240 feet",https://www.oregonhikers.org/field_guide/Indian_Cemetery_Road_Trailhead,Latitude: 45.8029,Longitude: -121.4694,90 minutes
Whetstone Mountain Hike,https://www.oregonhikers.org/field_guide/Whetstone_Mountain_Hike,Moderate,4.8 miles,"1,360 feet",https://www.oregonhikers.org/field_guide/Whetstone_Trailhead,Latitude: 44.87543,Longitude: -122.20246,115 minutes
Whipple Creek Loop Hike,https://www.oregonhikers.org/field_guide/Whipple_Creek_Loop_Hike,Moderate,5.9 miles,605 feet,https://www.oregonhikers.org/field_guide/Fairgrounds_Community_Park_Trailhead,Latitude: 45.7410,Longitude: -122.6727,30 minutes
Wild Rogue Loop Hike,https://www.oregonhikers.org/field_guide/Wild_Rogue_Loop_Hike,Moderate,29.2 miles,"3,700 feet",https://www.oregonhikers.org/field_guide/Mule_Creek_South_Trailhead,Latitude: 42.7215,Longitude: -123.8783,5.5 hours
Wildcat Basin Loop Hike,https://www.oregonhikers.org/field_guide/Wildcat_Basin_Loop_Hike,Moderate,7 miles,"1,400 feet",https://www.oregonhikers.org/field_guide/Roads_End_Trailhead_(Strawberry_Mountain_Wilderness),Latitude: 44.2800,Longitude: -118.7033,380 minutes
Williams Creek-Hares Canyon Loop Hike,https://www.oregonhikers.org/field_guide/Williams_Creek-Hares_Canyon_Loop_Hike,Moderate,10.7 miles,"1,910 feet",https://www.oregonhikers.org/field_guide/Hilltop_Trailhead,Latitude: 45.7417,Longitude: -123.1861,45 minutes
Wilson River Wagon Road Hike,https://www.oregonhikers.org/field_guide/Wilson_River_Wagon_Road_Hike,Moderate,11.6 miles,"1,800 feet",https://www.oregonhikers.org/field_guide/Deyoe_Creek_Trailhead,Latitude: 45.61428,Longitude: -123.36677,55 minutes
Wind Lake-Multorpor Fen Loop Hike,https://www.oregonhikers.org/field_guide/Wind_Lake-Multorpor_Fen_Loop_Hike,Moderate,9.1 miles,"1,955 feet",https://www.oregonhikers.org/field_guide/Ski_Bowl_West_Trailhead,Latitude: 45.3023,Longitude: -121.7736,75 minutes
Wind Mountain Hike,https://www.oregonhikers.org/field_guide/Wind_Mountain_Hike,Moderate,2.9 miles,"1,185 feet",https://www.oregonhikers.org/field_guide/Wind_Mountain_Trailhead,Latitude: 45.71354,Longitude: -121.75213,65 minutes
Windy Valley Hike,https://www.oregonhikers.org/field_guide/Windy_Valley_Hike,Moderate,3.8 miles,610 feet,https://www.oregonhikers.org/field_guide/Snow_Camp_Cedar_Camp_Trailhead,Latitude: 42.3117,Longitude: -124.1372,415 minutes
Wizard Falls Loop Hike,https://www.oregonhikers.org/field_guide/Wizard_Falls_Loop_Hike,Moderate,6 miles,300 feet,https://www.oregonhikers.org/field_guide/Lower_Bridge_Trailhead,Latitude: 44.5568,Longitude: -121.62,3 hours
Wolf Creek Trestle Hike,https://www.oregonhikers.org/field_guide/Wolf_Creek_Trestle_Hike,Moderate,10 miles,740 feet,https://www.oregonhikers.org/field_guide/Cochran_Trailhead,Latitude: 45.70453,Longitude: -123.41114,70 minutes
Wood Lake via Sawtooth Mountain Hike,https://www.oregonhikers.org/field_guide/Wood_Lake_via_Sawtooth_Mountain_Hike,Moderate,9.2 miles,"2,190 feet",https://www.oregonhikers.org/field_guide/Sawtooth_Trailhead,Latitude: 46.0922,Longitude: -121.7656,110 minutes
Wright Meadow Hike,https://www.oregonhikers.org/field_guide/Wright_Meadow_Hike,Moderate,9.6 miles,"2,625 feet",https://www.oregonhikers.org/field_guide/Wright_Meadows_Trailhead,Latitude: 46.1650,Longitude: -121.8735,110 minutes
Wygant Peak Hike,https://www.oregonhikers.org/field_guide/Wygant_Peak_Hike,Moderate,9.2 miles,"2,365 feet",https://www.oregonhikers.org/field_guide/Mitchell_Point_Trailhead,Latitude: 45.70312,Longitude: -121.61859,1 hour
Yellowjacket Viewpoint Hike,https://www.oregonhikers.org/field_guide/Yellowjacket_Viewpoint_Hike,Moderate,7 miles,"2,195 feet",https://www.oregonhikers.org/field_guide/Oak_Ridge_Trailhead,Latitude: 45.52063,Longitude: -121.55982,85 minutes
Zane Grey Campsite Hike,https://www.oregonhikers.org/field_guide/Zane_Grey_Campsite_Hike,Moderate,7.5 miles,355 feet,https://www.oregonhikers.org/field_guide/Wright_Creek_Trailhead,Latitude: 43.3195,Longitude: -122.8092,4.5 hours
